gene_id	cell_group	Gene.Ontology.IDs
LOC105344977	4	NA
LOC105346613	4	GO:0001972; GO:0004497; GO:0005506; GO:0005739; GO:0006629; GO:0016020; GO:0020037; GO:0061896; GO:0061897; GO:0061898; GO:1904768
LOC105345003	6	GO:0003723; GO:0005737; GO:0052908
LOC105319984	1	GO:0005905; GO:0006897; GO:0016021
LOC105338896	9	GO:0001525; GO:0001541; GO:0001542; GO:0001554; GO:0004222; GO:0005576; GO:0005615; GO:0005886; GO:0006508; GO:0008270; GO:0009725; GO:0030154; GO:0030198; GO:0030574; GO:0031012; GO:0031225; GO:0051591
LOC105349129	5	GO:0007613; GO:0008542; GO:0014069; GO:0035255; GO:0045202; GO:0048169; GO:0060076; GO:0070161; GO:0097120; GO:0098839; GO:0098978; GO:0099061; GO:2000312; GO:2000463
LOC105332773	2	GO:0000122; GO:0000976; GO:0000978; GO:0000981; GO:0001227; GO:0005634; GO:0005654; GO:0005667; GO:0005737; GO:0005739; GO:0006357; GO:0007420; GO:0007517; GO:0008270; GO:0016604; GO:0019899; GO:0032922; GO:0045662; GO:0045663; GO:0045664; GO:0045785; GO:0045893; GO:0045944; GO:0071559; GO:1904059
LOC105344715	3	GO:0004888; GO:0005231; GO:0005887; GO:0005892; GO:0007165; GO:0007268; GO:0007271; GO:0017085; GO:0022848; GO:0030594; GO:0034220; GO:0042391; GO:0043005; GO:0045202; GO:0045211; GO:0050877; GO:0070161; GO:0098655; GO:1904315
LOC109618378	7	GO:0005886; GO:0016021; GO:0043332
LOC105328642	6	GO:0001525; GO:0001540; GO:0005178; GO:0005509; GO:0005576; GO:0005604; GO:0005615; GO:0005796; GO:0005886; GO:0005925; GO:0006629; GO:0006898; GO:0006954; GO:0007420; GO:0008022; GO:0009887; GO:0009888; GO:0016525; GO:0030021; GO:0030154; GO:0043202; GO:0050750; GO:0060548; GO:0062023; GO:0070062; GO:0072359; GO:0098797; GO:1905907
LOC105318652	14	GO:0005509; GO:0005576; GO:0007156; GO:0016020; GO:0030246
LOC105318662	14	GO:0000209; GO:0005829; GO:0035556; GO:0044314; GO:0061630; GO:0140454
LOC105318672	13	GO:0015207; GO:0015208; GO:0015245; GO:0016021; GO:0016323; GO:0035344; GO:0042910
LOC105318673	1	GO:0004318; GO:0006633; GO:0016631; GO:0051287
LOC105340661	3	GO:0015918; GO:0032934
LOC105325414	12	GO:0001707; GO:0001756; GO:0001895; GO:0005509; GO:0005737; GO:0005886; GO:0007157; GO:0010470; GO:0010718; GO:0010951; GO:0014028; GO:0016021; GO:0016324; GO:0016327; GO:0019828; GO:0030010; GO:0030054; GO:0030513; GO:0032991; GO:0035003; GO:0044877; GO:0045177; GO:0045197; GO:0045199; GO:0045494; GO:0046549; GO:0055111; GO:0072359
LOC105321850	10	GO:0005041; GO:0005886; GO:0005905; GO:0006629; GO:0006869; GO:0016021; GO:0048839
LOC105322328	7	GO:0000226; GO:0005737; GO:0005874; GO:0007605; GO:0008017; GO:0008344; GO:0035011; GO:0035556; GO:0071683
LOC105344011	5	GO:0004842; GO:0005737; GO:0008270; GO:0043523
LOC105319384	13	GO:0005242; GO:0005886; GO:0008076; GO:0009897; GO:0015467; GO:0030315; GO:0034765; GO:0086089; GO:0086091; GO:0098914; GO:1990573
LOC105343715	2	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0046872
LOC117692972	2	GO:0000122; GO:0000792; GO:0000978; GO:0000981; GO:0000987; GO:0001657; GO:0001658; GO:0001822; GO:0001843; GO:0003281; GO:0003337; GO:0003340; GO:0003677; GO:0003682; GO:0005634; GO:0005737; GO:0006357; GO:0006366; GO:0007224; GO:0007507; GO:0008013; GO:0010369; GO:0016581; GO:0021553; GO:0021772; GO:0021889; GO:0021915; GO:0030177; GO:0030182; GO:0031129; GO:0035136; GO:0035137; GO:0042733; GO:0044877; GO:0045666; GO:0045879; GO:0045892; GO:0045893; GO:0045944; GO:0046872; GO:0048566; GO:0060173; GO:0061034; GO:0061629; GO:0072073; GO:0072092; GO:0072309; GO:0090190; GO:0097154; GO:2000177; GO:2000381; GO:2000384
LOC105324812	6	NA
LOC105338345	5	GO:0003729; GO:0003743; GO:0010494; GO:0036493
LOC105323138	9	GO:0000981; GO:0005634; GO:0006357; GO:0030154; GO:0043565
LOC117692375	6	GO:0004930; GO:0005929; GO:0007186; GO:0007189; GO:0016021; GO:0055037; GO:0060170; GO:1901621
LOC105343134	11	GO:0046872
LOC105320410	8	GO:0000785; GO:0000786; GO:0005634; GO:0005700; GO:0006334; GO:0030527; GO:0031492; GO:0035059; GO:0046982
LOC105320409	8	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0044877; GO:0046982
LOC105320407	8	GO:0000786; GO:0003690; GO:0005634; GO:0006334; GO:0030261; GO:0030527; GO:0031492; GO:0045910
LOC105324863	3	GO:0005783; GO:0005886; GO:0006470; GO:0006805; GO:0016020; GO:0016021; GO:0016042; GO:0017171; GO:0042301; GO:0046485; GO:0047378; GO:0060395
LOC105330146	3	GO:0001958; GO:0003006; GO:0004035; GO:0004427; GO:0005509; GO:0005615; GO:0005758; GO:0005886; GO:0010259; GO:0016311; GO:0016462; GO:0016887; GO:0019725; GO:0030282; GO:0031012; GO:0031225; GO:0031966; GO:0032496; GO:0033280; GO:0033883; GO:0034516; GO:0042822; GO:0043262; GO:0046677; GO:0050187; GO:0051384; GO:0052732; GO:0055062; GO:0055074; GO:0065010; GO:0071407; GO:0071529; GO:0110148; GO:0120162; GO:0140651; GO:1904383
LOC105338114	10	GO:0003779; GO:0005634; GO:0005829; GO:0005886; GO:0019899; GO:0030833; GO:0030864; GO:0050832; GO:0051015
LOC105333120	13	GO:0005576; GO:0042742; GO:0042832; GO:0045087
LOC105334469	3	GO:0001968; GO:0005518; GO:0009986; GO:0016021; GO:0030335; GO:0043236; GO:0046813; GO:1903077
LOC105333268	9	GO:0004222; GO:0005576; GO:0006508; GO:0008270
LOC105341623	5	GO:0003746; GO:0003924; GO:0005525; GO:0005737
LOC105340061	4	GO:0005576; GO:0062023
LOC105344310	2	GO:0000977; GO:0000981; GO:0005634; GO:0006357; GO:0007267; GO:0021527; GO:0021549; GO:0021702; GO:0021766; GO:0021846; GO:0021879; GO:0021937; GO:0030182; GO:0042127; GO:0045893; GO:0046872; GO:1990837
LOC105330417	5	GO:0034773; GO:0042799; GO:0045814; GO:0046872; GO:2000035; GO:2000736
LOC105330418	5	GO:0010529; GO:0034773; GO:0042799; GO:0045814; GO:0046872; GO:2000035; GO:2000736
LOC105331830	2	GO:0004930; GO:0005886; GO:0016021
LOC105345796	5	GO:0000776; GO:0005634; GO:0005694; GO:0006357; GO:0008270; GO:0043035; GO:1990837
LOC105340282	2	GO:0003341; GO:0031514; GO:0044782
LOC105335618	8	GO:0000287; GO:0005737; GO:0009975; GO:0010333; GO:0016102; GO:0051762
LOC105334421	8	GO:0003682; GO:0005634; GO:0006260; GO:0006974; GO:0007098; GO:0009411; GO:0019985; GO:0048471; GO:0051726
LOC117681156	10	GO:0005507; GO:0016491
LOC105345408	4	GO:0008753; GO:0050136
LOC105321684	4	GO:0005737; GO:0005829; GO:0005886; GO:0042552; GO:0043005; GO:0046854; GO:0072659
LOC105329712	10	GO:0003785; GO:0005829; GO:0005856; GO:0005938; GO:0007015; GO:0070161
LOC105348737	7	GO:0000978; GO:0000981; GO:0003700; GO:0003714; GO:0005634; GO:0006357; GO:0007411; GO:0007636; GO:0008039; GO:0045944; GO:0048813; GO:0050911; GO:0070983
LOC105338903	6	GO:0005886; GO:0005887; GO:0006836; GO:0015375; GO:0060092
LOC105338906	4	GO:0005581; GO:0005615; GO:0042802; GO:0045599; GO:0048144; GO:0048147; GO:0070371; GO:0070373
LOC105338907	5	GO:0003774; GO:0005516; GO:0005524; GO:0016459; GO:0030016; GO:0032982; GO:0051015
LOC105319736	1	GO:0003755; GO:0005509; GO:0005528; GO:0005783; GO:0005788; GO:0018208
LOC105320302	1	GO:0004656; GO:0005506; GO:0005783; GO:0005788; GO:0018401; GO:0031418
LOC117681265	8	NA
LOC105325311	3	GO:0001504; GO:0005332; GO:0005369; GO:0005737; GO:0005886; GO:0005887; GO:0006836; GO:0007420; GO:0008028; GO:0009410; GO:0015718; GO:0016020; GO:0035725; GO:0042165; GO:0042995; GO:0043005; GO:0045202; GO:0098810; GO:0098982; GO:0099055; GO:0099056
LOC105327950	4	GO:0003677; GO:0003700; GO:0005634; GO:0045893
LOC105338011	1	GO:0016021
LOC105338464	12	GO:0004222; GO:0005886; GO:0006509; GO:0007219; GO:0007220; GO:0010942; GO:0016021; GO:0033209; GO:0040015; GO:0046872; GO:1903427
LOC105347812	7	GO:0005243; GO:0005886; GO:0005911; GO:0005921; GO:0016021; GO:0016264; GO:0018991; GO:0032589; GO:0034220; GO:0034609; GO:0040011; GO:0043051; GO:0055077; GO:0072347; GO:0090325; GO:1902435; GO:1902847; GO:1903351
LOC105340983	12	GO:0008203; GO:0016021; GO:0016491; GO:0046872; GO:0051537
LOC105322258	11	GO:0003724; GO:0003729; GO:0005524; GO:0005730; GO:0006364; GO:0016887
LOC105330734	12	GO:0005789; GO:0006629; GO:0006636; GO:0016021; GO:0016213; GO:0016717
LOC105330727	11	GO:0005737; GO:0007288; GO:0008017; GO:0036064
LOC105344257	7	GO:0000139; GO:0001516; GO:0002827; GO:0004622; GO:0004623; GO:0005509; GO:0005544; GO:0005634; GO:0005635; GO:0005737; GO:0005743; GO:0005783; GO:0005789; GO:0005794; GO:0005829; GO:0006071; GO:0006640; GO:0006663; GO:0006690; GO:0008374; GO:0010314; GO:0010572; GO:0019369; GO:0019370; GO:0032266; GO:0032308; GO:0034478; GO:0034638; GO:0036151; GO:0042127; GO:0043032; GO:0043231; GO:0046475; GO:0047498; GO:0047499; GO:0050482; GO:0051649; GO:0070273; GO:0071236; GO:0102545; GO:1902387
LOC105343929	12	GO:0004888; GO:0005231; GO:0005887; GO:0007165; GO:0007218; GO:0007268; GO:0016594; GO:0016934; GO:0016935; GO:0022852; GO:0030425; GO:0030594; GO:0034220; GO:0042391; GO:0043005; GO:0043200; GO:0043204; GO:0045202; GO:0046872; GO:0050877; GO:0051260; GO:0060012; GO:0070161; GO:0071230; GO:0071294; GO:0071361; GO:0098690; GO:0098982; GO:0099060; GO:1902476; GO:1904315; GO:2000300
LOC105324492	6	GO:0001745; GO:0001941; GO:0005737; GO:0005886; GO:0005887; GO:0007155; GO:0007274; GO:0008039; GO:0008045; GO:0016200; GO:0022416; GO:0031005; GO:0031012; GO:0031122; GO:0031594; GO:0034110; GO:0034116; GO:0040017; GO:0042051; GO:0042802; GO:0042803; GO:0043005; GO:0043025; GO:0045211; GO:0045467; GO:0046982; GO:0048058; GO:0048499; GO:0048790; GO:0050808; GO:0051124; GO:0070161; GO:0097090; GO:0099190; GO:0099559; GO:2000331
LOC105339511	8	GO:0001764; GO:0002052; GO:0005516; GO:0005634; GO:0005737; GO:0005813; GO:0007051; GO:0007283; GO:0008356; GO:0008584; GO:0016324; GO:0021873; GO:0021987; GO:0030496; GO:0036449; GO:0045665; GO:0045769; GO:0048477; GO:0048589; GO:0051445; GO:0051653; GO:0051661; GO:0072687; GO:0090263; GO:0090306; GO:0097150; GO:0097431
LOC105339464	3	GO:0005615; GO:0016021; GO:0031012
LOC105321897	11	GO:0005524; GO:0033178; GO:0042777; GO:0046933; GO:0046961
LOC105317956	11	GO:0005929
LOC105327400	12	NA
LOC105342649	13	GO:0003677; GO:0005634; GO:0005694; GO:0006325; GO:0007265; GO:0008270; GO:0018024; GO:0034968; GO:0090309; GO:1990841
LOC105341304	12	GO:0005615; GO:0005829; GO:0006955; GO:0007605; GO:0016021; GO:0032426; GO:0038023; GO:0120234
LOC105346085	7	GO:0001540; GO:0001678; GO:0001942; GO:0005035; GO:0005168; GO:0005516; GO:0005634; GO:0005635; GO:0005654; GO:0005737; GO:0005739; GO:0005791; GO:0005794; GO:0005886; GO:0005911; GO:0006886; GO:0006919; GO:0007165; GO:0007266; GO:0007411; GO:0007417; GO:0007623; GO:0008543; GO:0009611; GO:0009897; GO:0009986; GO:0010468; GO:0010941; GO:0010976; GO:0010977; GO:0014069; GO:0015026; GO:0016021; GO:0016048; GO:0016525; GO:0019233; GO:0021675; GO:0030135; GO:0030336; GO:0030426; GO:0031069; GO:0031267; GO:0031625; GO:0031643; GO:0032224; GO:0032590; GO:0032809; GO:0032922; GO:0034599; GO:0035025; GO:0035907; GO:0040037; GO:0042475; GO:0042488; GO:0042593; GO:0042802; GO:0043065; GO:0043066; GO:0043121; GO:0043197; GO:0043204; GO:0043410; GO:0043524; GO:0043588; GO:0044877; GO:0045121; GO:0045334; GO:0045666; GO:0048144; GO:0048146; GO:0048406; GO:0051402; GO:0051799; GO:0051897; GO:0051902; GO:0051968; GO:0061000; GO:0070678; GO:1900182; GO:1901216; GO:1902895; GO:1903588; GO:1904646; GO:2000179; GO:2000377; GO:2000463; GO:2001235
LOC105331131	7	GO:0005509; GO:0005887; GO:0007155; GO:0007156
LOC105320921	3	GO:0005343; GO:0005886; GO:0006811; GO:0006814; GO:0006915; GO:0008028; GO:0015129; GO:0015293; GO:0015552; GO:0015730; GO:0016021; GO:0016324; GO:0022803; GO:0034356; GO:0070062; GO:0140161
LOC105330613	10	GO:0000122; GO:0000978; GO:0000981; GO:0001227; GO:0005634; GO:0006357; GO:0046872
LOC105345077	3	GO:0005096; GO:0005769; GO:0005829; GO:0006897; GO:0090630
LOC105333574	1	GO:0005186; GO:0005576
LOC105343428	2	
LOC105320897	1	GO:0003755; GO:0005509; GO:0005788
LOC117681233	1	GO:0001701; GO:0003755; GO:0005509; GO:0005528; GO:0005758; GO:0005783; GO:0005788; GO:0006457; GO:0016020; GO:0017185; GO:0018208; GO:0030199; GO:0035909; GO:0042060; GO:0085029
LOC105345393	1	GO:0003755; GO:0005509; GO:0005788
LOC105339015	6	GO:0005634
LOC105340880	14	GO:0000122; GO:0000977; GO:0000978; GO:0000981; GO:0001227; GO:0001967; GO:0005634; GO:0005654; GO:0005667; GO:0005794; GO:0005829; GO:0006357; GO:0007585; GO:0010944; GO:0016607; GO:0030336; GO:0033262; GO:0044342; GO:0045892; GO:0046545; GO:0048147; GO:0060244; GO:2000279
LOC105333204	9	GO:0000166; GO:0000286; GO:0005829; GO:0006524; GO:0042853
LOC105333163	6	GO:0005886; GO:0005887
LOC105320956	14	GO:0000398; GO:0005681; GO:0005737; GO:0016607; GO:0030628; GO:0046872; GO:0089701
LOC117680998	2	GO:0016021; GO:0033644
LOC105335713	10	GO:0005524; GO:0005737; GO:0005856
LOC105339650	5	GO:0002011; GO:0005102; GO:0005201; GO:0005576; GO:0005604; GO:0005606; GO:0005608; GO:0005615; GO:0005911; GO:0006468; GO:0007155; GO:0007166; GO:0007411; GO:0008022; GO:0009887; GO:0009888; GO:0016020; GO:0030334; GO:0031012; GO:0031175; GO:0043010; GO:0043208; GO:0043256; GO:0045198; GO:0045785; GO:0045995; GO:0048514; GO:0051149; GO:0060041; GO:0060441; GO:0060445; GO:0061304; GO:0062023; GO:0098637; GO:0110011; GO:2001046
LOC105318603	13	GO:0005576
LOC109618627	14	NA
LOC105329978	12	GO:0003677; GO:0004360; GO:0004519; GO:0005737; GO:0006002; GO:0006047; GO:0006487; GO:0006541; GO:0016539; GO:0097367
LOC105345012	7	GO:0001675; GO:0002860; GO:0002891; GO:0005886; GO:0005911; GO:0005915; GO:0007010; GO:0007156; GO:0007286; GO:0007289; GO:0009566; GO:0009986; GO:0016021; GO:0019064; GO:0030382; GO:0032990; GO:0033005; GO:0042271; GO:0042802; GO:0042803; GO:0043296; GO:0044291; GO:0044406; GO:0044782; GO:0045954; GO:0046596; GO:0046814; GO:0050839; GO:0050862; GO:0051649; GO:0051654; GO:0060370
LOC105345004	1	GO:0005886; GO:0006979; GO:0016021
LOC105330040	14	GO:0004114; GO:0004115; GO:0004117; GO:0005516; GO:0005764; GO:0005929; GO:0007165; GO:0007608; GO:0030552; GO:0043025; GO:0046872; GO:0047555; GO:0048101; GO:0051592; GO:0061179
LOC105349206	9	GO:0006508; GO:0046872; GO:0070573
LOC105328381	9	GO:0016021
LOC105322367	2	GO:0005507; GO:0005576; GO:0046274; GO:0052716
LOC105334883	12	GO:0016021
LOC105342559	13	GO:0001889; GO:0004714; GO:0005008; GO:0005524; GO:0005887; GO:0006909; GO:0007169; GO:0007399; GO:0009925; GO:0016477; GO:0017154; GO:0030182; GO:0031016; GO:0033674; GO:0043235; GO:0050918; GO:0051897; GO:0071526; GO:2001028
LOC109620490	9	GO:0007520; GO:0016020; GO:0016021
LOC105330972	2	GO:0007520; GO:0016020; GO:0016021
LOC105323566	9	GO:0004675; GO:0005524; GO:0005576; GO:0005634; GO:0005886; GO:0006468; GO:0007165; GO:0016021; GO:0106310
LOC117683259	9	GO:0005797; GO:0006486; GO:0007399; GO:0008417; GO:0016021; GO:0018392; GO:0032580; GO:0036065; GO:0036071; GO:0046920
LOC105318887	9	GO:0005886; GO:0009055; GO:0016021; GO:0020037; GO:0022904; GO:0042597; GO:0046872; GO:0070469
LOC105330561	7	GO:0005524; GO:0005730; GO:0005737; GO:0005739; GO:0005794; GO:0005829; GO:0005938; GO:0006887; GO:0007015; GO:0032879; GO:0040019; GO:0042585; GO:0048471; GO:0051293; GO:0051302; GO:0051656; GO:0060471; GO:0060473
LOC105323690	14	GO:0000381; GO:0000398; GO:0005634; GO:0005737; GO:0016607; GO:0071005
LOC105329788	5	GO:0005886; GO:0008484
LOC105348068	5	GO:0001525; GO:0001664; GO:0001837; GO:0001974; GO:0003007; GO:0003723; GO:0005080; GO:0005576; GO:0005634; GO:0005730; GO:0005737; GO:0005802; GO:0005829; GO:0005886; GO:0005903; GO:0005911; GO:0005925; GO:0005938; GO:0007195; GO:0007597; GO:0010572; GO:0010977; GO:0015459; GO:0015629; GO:0016020; GO:0016479; GO:0019900; GO:0030018; GO:0030334; GO:0031267; GO:0031523; GO:0031532; GO:0032231; GO:0032432; GO:0034394; GO:0034988; GO:0035855; GO:0042177; GO:0042307; GO:0042803; GO:0043066; GO:0043113; GO:0043123; GO:0043204; GO:0043433; GO:0044295; GO:0044319; GO:0044325; GO:0045022; GO:0045184; GO:0045216; GO:0045296; GO:0048680; GO:0050808; GO:0050821; GO:0051015; GO:0051020; GO:0051209; GO:0051220; GO:0051764; GO:0060271; GO:0070062; GO:0070527; GO:0071526; GO:0072659; GO:0090042; GO:0090307; GO:0140297; GO:1900026; GO:1901381; GO:1905000; GO:1905031; GO:1990779; GO:2001046
LOC105335376	10	
LOC105339256	4	GO:0000325; GO:0003727; GO:0003729; GO:0005737; GO:0005829; GO:0006970; GO:0009651; GO:0009819; GO:0010608; GO:0051607; GO:0061158
Hmgb1	14	GO:0000400; GO:0003677; GO:0003723; GO:0005634; GO:0005694; GO:0005737; GO:0006357; GO:0008301; GO:0032392; GO:0045087; GO:0045578; GO:0045638
LOC105326883	6	GO:0005634; GO:0005886; GO:0006779; GO:0006888; GO:0007165; GO:0008093; GO:0009898; GO:0010638; GO:0014731; GO:0016020; GO:0016529; GO:0019899; GO:0019903; GO:0030018; GO:0030507; GO:0030673; GO:0030863; GO:0031430; GO:0031672; GO:0042383; GO:0043005; GO:0044325; GO:0045211; GO:0048821; GO:0051117; GO:0055072; GO:0072659; GO:0098662
LOC105326887	10	GO:0004674; GO:0005524; GO:0005737; GO:0006468; GO:0043066; GO:0106310
LOC105327389	12	GO:0001525; GO:0004415; GO:0005509; GO:0005730; GO:0005829; GO:0005886; GO:0005887; GO:0030214; GO:0043231; GO:1903670
LOC105330884	3	GO:0005737; GO:0006782; GO:0008483; GO:0030170; GO:0042286
LOC105324191	10	GO:0003723; GO:0005737; GO:1990904
LOC105343897	12	GO:0001664; GO:0003376; GO:0004930; GO:0005178; GO:0005737; GO:0005886; GO:0007186; GO:0007189; GO:0008528; GO:0010800; GO:0014912; GO:0016021; GO:0019222; GO:0031532; GO:0038036; GO:0046847; GO:0060079; GO:0090394; GO:0098794; GO:1903142; GO:1904706
LOC105321169	13	GO:0005576; GO:0008200; GO:0017080; GO:0090729
LOC105329348	2	GO:0000226; GO:0000278; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0005881; GO:0007017; GO:0031594; GO:0036464; GO:0042802; GO:0050807; GO:0055037
LOC105334467	9	GO:0004930; GO:0005886; GO:0005887; GO:0007186; GO:0007200; GO:0007218; GO:0007268; GO:0007631; GO:0008188; GO:0010840; GO:0016499; GO:0017046; GO:0022410; GO:0040011; GO:0045202; GO:0051480
LOC105334531	3	GO:0005509
LOC105339169	9	GO:0003180; GO:0003181; GO:0005509; GO:0005615; GO:0005739; GO:0007411; GO:0008201; GO:0008285; GO:0010629; GO:0030308; GO:0032870; GO:0035385; GO:0048495; GO:0048846; GO:0050919; GO:0051414; GO:0060412; GO:0061364; GO:0070100
LOC105321610	8	GO:0000722; GO:0000781; GO:0005524; GO:0006281; GO:0016605; GO:0030915; GO:0090398
LOC105318512	8	GO:0005886; GO:0006935; GO:0007165; GO:0016021
LOC105327958	4	GO:0001659; GO:0005737; GO:0005764; GO:0005768; GO:0005769; GO:0005886; GO:0015031; GO:0031649; GO:0031651; GO:0031699; GO:0043588; GO:0051443; GO:0060613; GO:0071878; GO:0090327; GO:0120163
LOC105335166	8	GO:0003676; GO:0003724; GO:0005524; GO:0005737; GO:0007140; GO:0007141; GO:0007283; GO:0010529; GO:0016887; GO:0030154; GO:0031047; GO:0034587; GO:0043046; GO:0048471; GO:0071546; GO:0071547; GO:1990511
LOC105320634	14	GO:0000122; GO:0000978; GO:0000981; GO:0005654; GO:0005813; GO:0006357; GO:0010470; GO:0030182; GO:0035881; GO:0038092; GO:0060041; GO:1902871; GO:1990837
LOC105342059	1	GO:0005178; GO:0005604; GO:0005829; GO:0005886; GO:0005887; GO:0005925; GO:0007155; GO:0009986; GO:0016020; GO:0016477; GO:0030335; GO:0042098; GO:0044319; GO:0045807
LOC105329605	14	GO:0000049; GO:0003735; GO:0006412; GO:0015935; GO:0019843
LOC105327445	8	GO:0000786; GO:0003690; GO:0005634; GO:0005694; GO:0005737; GO:0006334; GO:0030261; GO:0030527; GO:0031492; GO:0040029; GO:0045910; GO:0051321
LOC105335420	7	GO:0000785; GO:0000978; GO:0000981; GO:0003682; GO:0003700; GO:0005634; GO:0006357; GO:0007356; GO:0007399; GO:0010458; GO:0021559; GO:0021650; GO:0030182; GO:0030432; GO:0031223; GO:0031536; GO:0035112; GO:0042472; GO:0042803; GO:0043204; GO:0045165; GO:0045666; GO:0045944; GO:0048634; GO:0048806; GO:0048839; GO:0050885; GO:0051091; GO:0070888; GO:0071626; GO:0090102; GO:0090103; GO:0097094; GO:0098583; GO:1901078; GO:1905747; GO:1905748; GO:1990837
LOC105341712	6	GO:0004842; GO:0016021; GO:0016567; GO:0046872; GO:0071456
LOC105322566	12	GO:0005887; GO:0008381
LOC105336057	12	GO:0005737; GO:0016567; GO:0035556
LOC105335107	7	GO:0003729; GO:0003730; GO:0005634; GO:0005635; GO:0005737; GO:0005829; GO:0005856; GO:0006396; GO:0006397; GO:0007399; GO:0007568; GO:0007612; GO:0007626; GO:0008143; GO:0008306; GO:0008380; GO:0016020; GO:0021895; GO:0030182; GO:0030424; GO:0030425; GO:0030426; GO:0031099; GO:0034976; GO:0035925; GO:0042220; GO:0042788; GO:0043025; GO:0043204; GO:0043488; GO:0045182; GO:0048813; GO:0070935; GO:0097158; GO:0098978; GO:0099547; GO:1900006; GO:1905870; GO:1990090
LOC105329481	5	GO:0005509
LOC105340323	4	GO:0000139; GO:0003677; GO:0005634; GO:0008270; GO:0009898; GO:0098559; GO:0098560; GO:0098574
LOC105325055	9	GO:0000272; GO:0005576; GO:0030115; GO:0030246
LOC105341106	6	GO:0005042; GO:0005043; GO:0005886; GO:0006915; GO:0007411; GO:0007420; GO:0009986; GO:0015631; GO:0016021; GO:0019901; GO:0030027; GO:0030175; GO:0030334; GO:0030424; GO:0030425; GO:0030426; GO:0033564; GO:0038007; GO:0043025; GO:0043065; GO:0045202; GO:0061643; GO:0070161; GO:1990791
LOC105343361	6	GO:0006814; GO:0015293; GO:0015355; GO:0016021
LOC105339081	14	GO:0000375; GO:0000381; GO:0000398; GO:0003723; GO:0003729; GO:0005634; GO:0005637; GO:0005654; GO:0005681; GO:0019904; GO:0021796; GO:0032991; GO:0036002; GO:0042802; GO:0043484; GO:0048026; GO:0071333; GO:1990403
LOC117684825	2	GO:0000132; GO:0005884; GO:0005886; GO:0005925; GO:0016477; GO:0030864; GO:0031616; GO:0043231; GO:0051015; GO:0051301; GO:0051640; GO:0051660; GO:0090307; GO:1904776; GO:1905721
LOC105347362	13	GO:0005743; GO:0005886; GO:0006814; GO:0010008; GO:0010348; GO:0015385; GO:0016021; GO:0016323; GO:0030317; GO:0030672; GO:0031966; GO:0042802; GO:0061178; GO:0070161; GO:0072583; GO:0097228; GO:0097708; GO:2001206
LOC105328839	8	GO:0003950; GO:0005635; GO:0005783; GO:0005789; GO:0006471; GO:0016021; GO:0019900; GO:0030968; GO:0036498; GO:0043539; GO:0060548; GO:0070213; GO:0071782; GO:0071902; GO:0140289; GO:1990404; GO:1990830
LOC105328822	4	GO:0005737; GO:0005874; GO:0005912; GO:0007155; GO:0034451; GO:0035735; GO:0036064
LOC105345191	8	GO:0004518; GO:0005654; GO:0046872
LOC105344034	14	
LOC105325769	8	GO:0005634; GO:0005737; GO:0005739; GO:0005829; GO:0007052; GO:0007059; GO:0007346; GO:0008017; GO:0023052; GO:0031616; GO:0034451; GO:0051382; GO:0051642
LOC105329277	7	GO:0005615; GO:0007155; GO:0007399; GO:0030154; GO:0031012
LOC105329262	11	GO:0005737; GO:0005813; GO:0036064; GO:0097546
LOC105336631	9	GO:0000981; GO:0001525; GO:0001570; GO:0003677; GO:0005634; GO:0030099; GO:0030218; GO:0046983; GO:0048844; GO:0060214; GO:0060215; GO:0060216; GO:0060217; GO:0060218
LOC105323230	3	GO:0001579; GO:0002040; GO:0005319; GO:0005548; GO:0005783; GO:0005794; GO:0006629; GO:0006869; GO:0007586; GO:0008289; GO:0009306; GO:0015909; GO:0016323; GO:0034377; GO:0042157; GO:0042158; GO:0042632; GO:0042953; GO:0120013; GO:1904121
LOC105318379	5	GO:0003723; GO:0008270
LOC105318387	10	GO:0016567
LOC105345576	3	GO:0005319; GO:0005576; GO:0008289; GO:0016055
LOC105344169	1	GO:0002244; GO:0005432; GO:0005516; GO:0005739; GO:0005741; GO:0005789; GO:0005874; GO:0005886; GO:0005887; GO:0006814; GO:0006851; GO:0006874; GO:0007154; GO:0007611; GO:0007612; GO:0007613; GO:0014069; GO:0014819; GO:0015368; GO:0015491; GO:0016020; GO:0016528; GO:0021537; GO:0030001; GO:0030424; GO:0030425; GO:0031226; GO:0031594; GO:0035725; GO:0042383; GO:0042552; GO:0042995; GO:0043025; GO:0043197; GO:0043204; GO:0043679; GO:0045202; GO:0046872; GO:0048471; GO:0048709; GO:0050808; GO:0051560; GO:0060291; GO:0060402; GO:0070161; GO:0070588; GO:0071320; GO:0071456; GO:0071901; GO:0098703; GO:0098794; GO:0098815; GO:0099055; GO:0099580; GO:1905060; GO:1990034
LOC105336654	9	GO:0000254; GO:0001567; GO:0005506; GO:0005789; GO:0005829; GO:0006629; GO:0008203; GO:0008395; GO:0016020; GO:0016021; GO:0016126; GO:0016491; GO:0034340; GO:0035754; GO:1903914
LOC105322782	12	GO:0000139; GO:0001744; GO:0005795; GO:0006486; GO:0006688; GO:0007219; GO:0007293; GO:0007298; GO:0007299; GO:0008194; GO:0016021; GO:0016333; GO:0016757; GO:0030707; GO:0042248; GO:0046981; GO:0047915
